,,timestamp,Open,High,Low,Close,Volume,ema,sma,bb_high_indicator,bb_low_indicator
1622847600000.0,2021-06-04 23:00:00,37203.53,36462.42,36829.0,3076.419292,113230224.56637944,60281.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1622844000000.0,2021-06-04 22:00:00,37246.12,37069.44,37088.4,1269.502151,47157682.60689463,31663.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1622840400000.0,2021-06-04 21:00:00,37246.99,37023.08,37199.51,1665.561683,61894339.34742325,39419.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1622836800000.0,2021-06-04 20:00:00,37117.52,36793.74,37032.57,1573.255188,58199266.14331242,34717.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1622833200000.0,2021-06-04 19:00:00,37195.0,36708.0,36800.99,2174.96635,80417154.29814003,46856.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1622829600000.0,2021-06-04 18:00:00,37168.85,36953.17,37099.27,1877.446084,69619513.96100156,43381.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1622826000000.0,2021-06-04 17:00:00,37248.94,36800.01,37082.77,2204.775395,81783829.09043415,51913.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1622822400000.0,2021-06-04 16:00:00,37061.43,36751.05,36892.3,2768.577053,102163490.24982885,57570.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1622818800000.0,2021-06-04 15:00:00,37064.29,36621.83,36948.85,3532.148876,130137156.253166,62426.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1622815200000.0,2021-06-04 14:00:00,36893.45,36150.0,36707.94,4101.788167,149803198.57589367,79259.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
